country_name,lon,lat
Italy,12.56738,41.87194
France,2.213749,46.227638
China,104.195397,35.86166
United Kingdom,-3.435973,55.378051
Malaysia,101.975766,4.210484
Singapore,103.819836,1.352083
Russia,105.318756,61.52401
United States,-95.712891,37.09024
Austria,14.550072,47.516231
South Korea,127.766922,35.907757
Israel,34.851612,31.046051
Netherlands,5.291266,52.132633
Iceland,-19.020835,64.963051
Taiwan,120.960515,23.69781
Sweden,18.643501,60.128161
New Zealand,174.885971,-40.900557
India,78.96288,20.593684
Spain,-3.74922,40.463667
Australia,133.775136,-25.274398
Colombia,-74.297333,4.570868
Canada,-106.346771,56.130366
Germany,10.451526,51.165691
Denmark,9.501785,56.26392
Belgium,4.469936,50.503887
Ireland,-7.6920536,53.1423672
Turkey,35.243322,38.963745
Portugal,-8.224454,39.399872
Finland,25.7481511,61.92411
Switzerland,8.227512,46.818188
Estonia,25.0136071,58.595272
Iran,53.688046,32.427908
Japan,138.252924,36.204824
Egypt,30.802498,26.820553
Azerbaijan,47.576927,40.143105
Latvia,24.603189,56.879635
Poland,19.145136,51.919438
Réunion,55.536384,-21.115141
Philippines,121.774017,12.879721
Brazil,-51.92528,-14.235004
Bulgaria,25.48583,42.733883
Kenya,37.906193,-0.023559
Norway,8.468946,60.472024
Slovenia,14.995463,46.151241
Kuwait,47.481766,29.31166
Greece,21.824312,39.074208
Hong Kong SAR China,114.1693611,22.3193039
Argentina,-63.616672,-38.416097
Lithuania,23.881275,55.169438
Hungary,19.5033041,47.162494
Luxembourg,6.129583,49.815273
Isle of Man,-4.548056,54.236107
Serbia,21.005859,44.016521
South Africa,22.937506,-30.559482
Slovakia,19.699024,48.669026
Pakistan,69.345116,30.375321
Fm Tanganyik,NA,NA
Côte d’Ivoire,-5.54708,7.539989
Mauritius,57.552152,-20.348404
Uganda,32.290275,1.373333
Chile,-71.542969,-35.675147
Romania,24.96676,45.943161
Peru,-75.015152,-9.189967
Botswana,24.684866,-22.328474
Indonesia,113.921327,-0.789275
Rwanda,29.873888,-1.940278
Congo - Kinshasa,21.758664,-4.038333
Ukraine,31.1655799,48.379433
Sri Lanka,80.771797,7.873054
United Arab Emirates,53.847818,23.424076
Czechia,15.472962,49.817492
Croatia,15.2000001,45.1
Jersey,-2.13125,49.214439
Venezuela,-66.58973,6.42375
Mexico,-102.552784,23.634501
Senegal,-14.452362,14.497401
Mali,-3.996166,17.570692
Albania,20.168331,41.153332
Thailand,100.992541,15.870032
Armenia,45.038189,40.069099
Bangladesh,90.356331,23.684994
Zambia,27.849332,-13.133897
Moldova,28.369885,47.411631
Tunisia,9.537499,33.886917
Gibraltar,-5.353585,36.140751
Nigeria,8.675277,9.081999
Ecuador,-78.183406,-1.831239
Cyprus,33.429859,35.126413
Ghana,-1.023194,7.946527
Cayman Islands,-81.2546,19.3133
Malta,14.375416,35.937496
Togo,0.824782,8.619543
Liechtenstein,9.555373,47.166
Trinidad & Tobago,-61.222503,10.691803
Martinique,-61.024174,14.641528
Morocco,-7.09262,31.791702
Vietnam,108.277199,14.058324
Cambodia,104.990963,12.565679
Saudi Arabia,45.079162,23.885942
Guernsey,-2.58949,49.4481982
Bhutan,90.433601,27.514162
Cameroon,12.354722,7.369722
Angola,17.873887,-11.202692
Algeria,1.659626,28.033886
Bosnia & Herzegovina,17.679076,43.915886
Anguilla,-63.068615,18.220554
Nepal,84.124008,28.394857
Myanmar (Burma),95.955974,21.916221
Dominican Republic,-70.162651,18.735693
Uruguay,-55.765835,-32.522779
Costa Rica,-83.753428,9.748917
Georgia,-82.9000751,32.1656221
Belize,-88.49765,17.189877
Bermuda,-64.7505,32.3078
Panama,-80.782127,8.537981
Guatemala,-90.230759,15.783471
Kazakhstan,66.923684,48.019573
Jordan,36.238414,30.585164
Afghanistan,67.709953,33.93911
Macedonia,21.745275,41.608635
Bahrain,50.5577,26.0667
Qatar,51.183884,25.354826
Saint Martin (French part),-63.052251,18.08255
